,EDAD,AVG_DH,MINUTES_DH,EXPERIENCIA,GENERO,TRACK_DH,RESIDENCIA,NV_ESTUDIO,ESTUDIO_PREV,DIAS_EMP
8635,38.0,3.0,3779.2,,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,COMMERCIAL,93.0
5782,30.0,2.2,994.2,9.4,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,DEVELOPMENT,93.0
1551,28.0,3.1,4136.2,,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,,82.0
2824,30.0,3.2,4254.5,9.6,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,COMMERCIAL,84.0
5137,,,4123.3,,MASCULINO,DATA,MEXICO,TERTIARY,COMMERCIAL,93.0
614,34.0,3.2,4395.2,16.6,,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,85.0
2689,38.0,3.1,,21.9,MASCULINO,PROGRAMACION,MEXICO,UNIVERSITARY,DEVELOPMENT,91.0
5830,40.0,3.5,4539.5,24.1,MASCULINO,PROGRAMACION,ARGENTINA,,DEVELOPMENT,91.0
7944,,3.5,4589.4,,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,MARKETING,90.0
5237,36.0,3.2,4230.1,19.8,FEMENINO,PROGRAMACION,BRAZIL,TERTIARY,ENGINEERING,98.0
7270,26.0,3.3,,3.8,MASCULINO,EJECUTIVO,ARGENTINA,UNIVERSITARY,COMMERCIAL,85.0
606,43.0,4.1,4881.8,28.8,,,ARGENTINA,UNIVERSITARY,COMMERCIAL,92.0
6955,,3.7,4729.6,12.1,MASCULINO,EJECUTIVO,ARGENTINA,TERTIARY,ENGINEERING,88.0
662,30.0,3.9,4625.1,8.7,MASCULINO,DATA,,UNIVERSITARY,COMMERCIAL,88.0
8501,32.0,3.8,4661.6,13.4,MASCULINO,,MEXICO,UNIVERSITARY,COMMERCIAL,85.0
1816,,3.8,4747.4,,MASCULINO,DATA,ARGENTINA,TERTIARY,COMMERCIAL,89.0
7587,,4.0,4674.1,,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,83.0
7083,35.0,3.5,4693.5,18.1,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,86.0
321,43.0,3.6,4697.0,28.1,MASCULINO,DATA,ARGENTINA,POST_GRADUATE,,92.0
7988,,3.8,,10.0,MASCULINO,EJECUTIVO,ARGENTINA,UNIVERSITARY,ENGINEERING,81.0
5657,,3.6,,0.5,MASCULINO,PROGRAMACION,MEXICO,TERTIARY,COMMERCIAL,86.0
238,,,,,,,BRAZIL,UNIVERSITARY,ENGINEERING,88.0
3274,33.0,3.1,4128.9,14.8,,DATA,MEXICO,UNIVERSITARY,ENGINEERING,87.0
6064,37.0,3.5,4540.9,22.0,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,89.0
652,27.0,3.3,4466.6,4.8,FEMENINO,EJECUTIVO,ARGENTINA,UNIVERSITARY,ENGINEERING,93.0
4472,37.0,3.9,,20.3,FEMENINO,PROGRAMACION,BRAZIL,TERTIARY,ENGINEERING,100.0
4479,34.0,3.6,4535.1,,FEMENINO,,ARGENTINA,TERTIARY,,98.0
449,31.0,3.2,4251.9,11.3,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,COMMERCIAL,85.0
17,20.0,3.0,3914.3,0.6,MASCULINO,DATA,ARGENTINA,POST_GRADUATE,DEVELOPMENT,84.0
5300,37.0,3.7,4700.2,21.3,MASCULINO,,ARGENTINA,,ENGINEERING,86.0
4082,38.0,3.8,4582.3,22.4,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,,88.0
5808,34.0,3.5,4629.0,16.2,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,COMMERCIAL,86.0
4067,34.0,3.3,4526.2,15.7,FEMENINO,DATA,,UNIVERSITARY,COMMERCIAL,98.0
182,36.0,3.5,4515.7,19.3,MASCULINO,DATA,BRAZIL,POST_GRADUATE,BUSINESS,91.0
4905,35.0,4.2,4946.8,17.6,MASCULINO,DATA,,,ENGINEERING,85.0
6274,30.0,4.1,4791.3,9.4,MASCULINO,,BRAZIL,UNIVERSITARY,ENGINEERING,83.0
5652,33.0,3.7,4571.6,13.3,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,87.0
4024,37.0,3.4,4566.9,21.7,,PROGRAMACION,ARGENTINA,TERTIARY,,89.0
7435,26.0,3.7,4706.6,4.9,,DATA,,UNIVERSITARY,ENGINEERING,82.0
2043,33.0,3.1,4051.6,15.8,FEMENINO,PROGRAMACION,BRAZIL,UNIVERSITARY,COMMERCIAL,95.0
8450,37.0,3.4,4556.3,21.1,MASCULINO,DATA,,UNIVERSITARY,COMMERCIAL,89.0
4338,36.0,,4530.4,20.3,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,COMMERCIAL,89.0
8620,40.0,3.4,4458.6,25.4,MASCULINO,DATA,ARGENTINA,POST_GRADUATE,COMMERCIAL,91.0
8696,28.0,4.4,,6.3,,,ARGENTINA,UNIVERSITARY,ENGINEERING,86.0
8018,,3.5,4650.9,,,,ARGENTINA,,,87.0
6099,32.0,3.4,4492.2,13.2,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,84.0
2878,35.0,3.8,4753.3,,MASCULINO,,,TERTIARY,ENGINEERING,88.0
8672,35.0,3.3,4389.1,17.0,FEMENINO,,,POST_GRADUATE,,96.0
2823,35.0,3.7,4712.3,18.2,,PROGRAMACION,BRAZIL,UNIVERSITARY,,87.0
5956,44.0,2.9,3523.8,28.9,MASCULINO,PROGRAMACION,ARGENTINA,,COMMERCIAL,94.0
7720,37.0,2.9,3516.7,21.3,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,DEVELOPMENT,101.0
1131,41.0,3.2,4344.4,25.4,MASCULINO,PROGRAMACION,BRAZIL,UNIVERSITARY,ENGINEERING,90.0
3741,,4.1,4715.4,7.1,,PROGRAMACION,ARGENTINA,UNIVERSITARY,BUSINESS,89.0
7908,33.0,3.8,4739.8,15.6,FEMENINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,96.0
3224,23.0,3.5,4657.6,1.5,MASCULINO,EJECUTIVO,ARGENTINA,UNIVERSITARY,DEVELOPMENT,83.0
8990,29.0,4.0,4701.6,9.1,MASCULINO,,ARGENTINA,TERTIARY,DEVELOPMENT,86.0
906,,2.5,2071.8,2.4,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,,84.0
4206,45.0,4.0,4779.8,29.2,MASCULINO,DATA,ARGENTINA,TERTIARY,COMMERCIAL,96.0
8302,36.0,3.6,4693.5,19.2,MASCULINO,EJECUTIVO,BRAZIL,UNIVERSITARY,COMMERCIAL,90.0
7251,41.0,3.2,4231.5,27.3,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,DEVELOPMENT,101.0
7945,23.0,3.5,,0.8,FEMENINO,PROGRAMACION,ARGENTINA,POST_GRADUATE,ENGINEERING,95.0
1732,37.0,4.0,4739.7,,FEMENINO,PROGRAMACION,ARGENTINA,TERTIARY,ENGINEERING,103.0
7189,37.0,3.3,4505.9,21.2,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,DEVELOPMENT,98.0
3452,,3.5,4580.9,12.9,MASCULINO,,MEXICO,TERTIARY,ENGINEERING,87.0
2096,32.0,3.6,,13.1,,MARKETING,,,ENGINEERING,84.0
1151,28.0,3.8,4617.0,6.8,MASCULINO,DATA,BRAZIL,UNIVERSITARY,,89.0
6691,35.0,3.4,4456.2,,FEMENINO,,MEXICO,UNIVERSITARY,ENGINEERING,96.0
8917,37.0,,4209.0,21.8,,PROGRAMACION,MEXICO,TERTIARY,DEVELOPMENT,101.0
1802,31.0,3.7,4731.2,11.9,,DATA,ARGENTINA,UNIVERSITARY,COMMERCIAL,85.0
6000,43.0,3.0,3906.9,27.4,MASCULINO,MARKETING,ARGENTINA,UNIVERSITARY,ENGINEERING,91.0
2046,42.0,3.8,4608.5,27.6,MASCULINO,DATA,ARGENTINA,,COMMERCIAL,92.0
4410,26.0,3.6,4557.6,4.2,MASCULINO,PROGRAMACION,ARGENTINA,,DEVELOPMENT,86.0
1268,25.0,3.7,4691.5,3.8,MASCULINO,PROGRAMACION,ARGENTINA,TERTIARY,BUSINESS,90.0
3186,34.0,,4437.2,17.6,FEMENINO,DATA,ARGENTINA,TERTIARY,ENGINEERING,101.0
8333,41.0,2.3,1374.2,26.5,MASCULINO,PROGRAMACION,BRAZIL,TERTIARY,ENGINEERING,97.0
3430,35.0,,4126.5,17.7,FEMENINO,MARKETING,BRAZIL,,COMMERCIAL,96.0
3983,32.0,3.9,4617.1,14.0,FEMENINO,PROGRAMACION,ARGENTINA,TERTIARY,ENGINEERING,96.0
1508,42.0,3.4,4506.4,25.8,MASCULINO,EJECUTIVO,,UNIVERSITARY,DEVELOPMENT,93.0
6560,,4.0,4732.2,6.7,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,84.0
712,36.0,4.2,4921.7,,MASCULINO,PROGRAMACION,MEXICO,POST_GRADUATE,,86.0
6023,40.0,3.0,3876.9,25.5,MASCULINO,PROGRAMACION,BRAZIL,UNIVERSITARY,MARKETING,94.0
1396,37.0,3.6,4548.2,,,PROGRAMACION,ARGENTINA,,DEVELOPMENT,101.0
2136,33.0,,4589.3,14.1,MASCULINO,DATA,ARGENTINA,TERTIARY,DEVELOPMENT,89.0
5735,33.0,4.0,4681.9,14.6,FEMENINO,,,TERTIARY,ENGINEERING,97.0
2565,35.0,3.4,4455.9,17.2,FEMENINO,,ARGENTINA,TERTIARY,COMMERCIAL,101.0
8776,34.0,4.2,4891.4,17.4,,PROGRAMACION,ARGENTINA,UNIVERSITARY,COMMERCIAL,87.0
7411,28.0,3.4,4455.7,7.5,MASCULINO,DATA,ARGENTINA,,COMMERCIAL,87.0
457,35.0,,4479.1,17.9,,MARKETING,ARGENTINA,TERTIARY,ENGINEERING,89.0
1854,46.0,,4673.8,30.4,FEMENINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,,103.0
6579,27.0,3.6,4680.7,6.3,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,82.0
4091,31.0,3.1,4116.8,,MASCULINO,MARKETING,ARGENTINA,,ENGINEERING,85.0
8280,35.0,3.5,4585.3,16.9,FEMENINO,DATA,MEXICO,UNIVERSITARY,ENGINEERING,98.0
4851,36.0,3.7,4665.9,20.0,MASCULINO,,ARGENTINA,UNIVERSITARY,DEVELOPMENT,89.0
8045,36.0,4.0,4687.8,19.8,MASCULINO,DATA,ARGENTINA,TERTIARY,,90.0
5749,37.0,2.9,3490.6,20.6,FEMENINO,DATA,ARGENTINA,POST_GRADUATE,COMMERCIAL,100.0
5442,26.0,4.1,4800.4,5.1,MASCULINO,DATA,,UNIVERSITARY,,84.0
8444,,3.7,4541.9,26.5,MASCULINO,DATA,ARGENTINA,POST_GRADUATE,DEVELOPMENT,90.0
7830,38.0,,4572.0,22.0,FEMENINO,,ARGENTINA,UNIVERSITARY,DEVELOPMENT,101.0
5302,,3.7,4596.5,0.8,MASCULINO,DATA,BRAZIL,UNIVERSITARY,ENGINEERING,83.0
647,37.0,2.6,2422.7,,,PROGRAMACION,ARGENTINA,POST_GRADUATE,COMMERCIAL,91.0
4580,26.0,3.5,4543.9,5.3,,PROGRAMACION,ARGENTINA,UNIVERSITARY,COMMERCIAL,84.0
3596,29.0,3.7,,9.0,FEMENINO,DATA,MEXICO,UNIVERSITARY,ENGINEERING,91.0
8002,39.0,3.8,4558.7,,MASCULINO,,ARGENTINA,TERTIARY,DEVELOPMENT,93.0
8260,27.0,,4560.8,5.2,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,DEVELOPMENT,85.0
1226,31.0,2.7,2810.2,10.9,MASCULINO,DATA,BRAZIL,,ENGINEERING,88.0
1991,38.0,,4711.1,22.4,FEMENINO,PROGRAMACION,,TERTIARY,ENGINEERING,102.0
5075,26.0,3.9,,4.7,FEMENINO,MARKETING,MEXICO,TERTIARY,COMMERCIAL,96.0
3723,30.0,2.8,,10.3,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,DEVELOPMENT,96.0
5150,,3.9,4687.3,7.4,MASCULINO,PROGRAMACION,MEXICO,TERTIARY,COMMERCIAL,86.0
7183,35.0,3.5,,17.6,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,COMMERCIAL,89.0
4626,31.0,3.7,4646.9,,MASCULINO,PROGRAMACION,,,COMMERCIAL,88.0
2461,40.0,,4611.6,25.4,,PROGRAMACION,,UNIVERSITARY,ENGINEERING,89.0
8797,43.0,4.0,,28.0,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,COMMERCIAL,93.0
5704,,3.8,4704.6,13.3,MASCULINO,DATA,ARGENTINA,TERTIARY,,87.0
2791,30.0,3.9,4607.6,9.2,MASCULINO,MARKETING,ARGENTINA,UNIVERSITARY,ENGINEERING,87.0
1874,,3.6,4590.8,,FEMENINO,DATA,,UNIVERSITARY,COMMERCIAL,93.0
1809,27.0,3.2,,6.0,FEMENINO,DATA,ARGENTINA,TERTIARY,DEVELOPMENT,98.0
2919,,3.2,4235.8,22.8,,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,88.0
2704,46.0,,4187.9,29.9,MASCULINO,DATA,MEXICO,,COMMERCIAL,92.0
6811,26.0,3.4,4508.9,4.2,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,DEVELOPMENT,95.0
4870,33.0,3.7,4725.8,15.0,MASCULINO,PROGRAMACION,,UNIVERSITARY,COMMERCIAL,86.0
6455,29.0,3.4,4436.8,7.8,FEMENINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,95.0
4887,31.0,3.2,4248.7,12.3,MASCULINO,PROGRAMACION,ARGENTINA,TERTIARY,COMMERCIAL,86.0
3272,34.0,4.2,,17.0,FEMENINO,DATA,ARGENTINA,POST_GRADUATE,,93.0
2388,37.0,4.3,5106.4,19.9,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,COMMERCIAL,89.0
8563,,3.3,4501.7,7.4,MASCULINO,,ARGENTINA,UNIVERSITARY,COMMERCIAL,85.0
1715,34.0,4.0,,16.4,FEMENINO,PROGRAMACION,BRAZIL,UNIVERSITARY,COMMERCIAL,98.0
5627,35.0,2.7,2985.9,,FEMENINO,PROGRAMACION,,UNIVERSITARY,ENGINEERING,96.0
4647,32.0,3.3,,13.6,FEMENINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,95.0
3209,31.0,3.3,4455.6,11.5,MASCULINO,PROGRAMACION,MEXICO,UNIVERSITARY,COMMERCIAL,85.0
8706,42.0,3.6,4715.9,27.0,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,90.0
281,32.0,3.2,,12.6,FEMENINO,PROGRAMACION,,UNIVERSITARY,DEVELOPMENT,97.0
7137,25.0,3.7,4612.5,,MASCULINO,DATA,ARGENTINA,POST_GRADUATE,DEVELOPMENT,85.0
3263,30.0,3.7,4642.8,,FEMENINO,DATA,ARGENTINA,TERTIARY,,97.0
7317,,3.7,4576.3,19.9,MASCULINO,EJECUTIVO,ARGENTINA,UNIVERSITARY,DEVELOPMENT,88.0
685,31.0,,4336.6,13.1,,DATA,,UNIVERSITARY,DEVELOPMENT,86.0
1281,,,4533.5,26.2,MASCULINO,DATA,MEXICO,,COMMERCIAL,92.0
2265,30.0,3.8,4688.0,10.2,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,84.0
7118,35.0,3.2,4275.1,17.2,MASCULINO,EJECUTIVO,ARGENTINA,TERTIARY,COMMERCIAL,89.0
4157,,3.3,4439.9,31.0,FEMENINO,,ARGENTINA,TERTIARY,DEVELOPMENT,107.0
4800,35.0,,4588.7,18.5,MASCULINO,PROGRAMACION,BRAZIL,UNIVERSITARY,,85.0
6535,31.0,3.6,4723.6,11.2,,PROGRAMACION,ARGENTINA,TERTIARY,COMMERCIAL,86.0
7647,34.0,3.0,3870.6,16.9,,DATA,BRAZIL,UNIVERSITARY,ENGINEERING,96.0
410,33.0,4.0,4757.1,13.7,MASCULINO,PROGRAMACION,ARGENTINA,,MARKETING,91.0
5180,,3.3,,13.9,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,BUSINESS,88.0
3400,37.0,2.8,3218.1,21.8,FEMENINO,PROGRAMACION,BRAZIL,UNIVERSITARY,COMMERCIAL,100.0
8736,31.0,3.3,4463.3,12.0,MASCULINO,MARKETING,ARGENTINA,UNIVERSITARY,ENGINEERING,82.0
939,30.0,3.2,4299.0,9.0,MASCULINO,DATA,BRAZIL,UNIVERSITARY,BUSINESS,88.0
8188,35.0,3.1,,18.1,MASCULINO,,BRAZIL,UNIVERSITARY,ENGINEERING,88.0
5638,30.0,,4643.4,10.6,,PROGRAMACION,BRAZIL,TERTIARY,COMMERCIAL,85.0
6249,,4.2,5016.9,15.2,,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,85.0
6056,,3.9,,14.4,FEMENINO,DATA,BRAZIL,UNIVERSITARY,ENGINEERING,95.0
4327,37.0,3.8,,20.9,FEMENINO,,ARGENTINA,UNIVERSITARY,COMMERCIAL,101.0
8159,,2.9,3644.0,,FEMENINO,DATA,MEXICO,UNIVERSITARY,ENGINEERING,96.0
1584,30.0,3.3,4506.7,8.4,,PROGRAMACION,ARGENTINA,UNIVERSITARY,COMMERCIAL,85.0
345,29.0,3.2,4248.8,9.1,FEMENINO,PROGRAMACION,ARGENTINA,TERTIARY,COMMERCIAL,100.0
4341,30.0,2.8,3149.6,,MASCULINO,,MEXICO,UNIVERSITARY,ENGINEERING,86.0
5795,36.0,3.6,4544.9,20.3,,PROGRAMACION,BRAZIL,UNIVERSITARY,ENGINEERING,86.0
4676,38.0,2.9,3495.0,21.7,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,91.0
4645,39.0,3.9,,,MASCULINO,DATA,ARGENTINA,TERTIARY,COMMERCIAL,91.0
5111,34.0,3.8,4607.8,16.1,MASCULINO,EJECUTIVO,BRAZIL,UNIVERSITARY,ENGINEERING,84.0
83,29.0,4.0,4703.4,8.5,FEMENINO,PROGRAMACION,ARGENTINA,TERTIARY,ENGINEERING,96.0
4315,32.0,3.1,,13.0,,DATA,,,DEVELOPMENT,97.0
1771,44.0,,4422.8,28.0,,,ARGENTINA,UNIVERSITARY,ENGINEERING,102.0
4274,39.0,4.2,5006.5,24.4,,PROGRAMACION,ARGENTINA,UNIVERSITARY,,98.0
4737,,3.9,4676.4,4.4,,,ARGENTINA,POST_GRADUATE,COMMERCIAL,84.0
372,32.0,3.2,4361.5,12.6,MASCULINO,PROGRAMACION,BRAZIL,UNIVERSITARY,ENGINEERING,82.0
5342,33.0,,4654.9,13.8,,MARKETING,,UNIVERSITARY,ENGINEERING,84.0
1768,26.0,,3892.5,4.8,MASCULINO,PROGRAMACION,BRAZIL,,ENGINEERING,82.0
5691,33.0,3.4,4511.5,15.3,FEMENINO,,BRAZIL,UNIVERSITARY,ENGINEERING,96.0
6604,30.0,3.6,,,FEMENINO,DATA,ARGENTINA,,,96.0
3868,24.0,3.2,,2.4,,PROGRAMACION,ARGENTINA,TERTIARY,COMMERCIAL,99.0
1844,27.0,2.9,,5.8,FEMENINO,PROGRAMACION,ARGENTINA,POST_GRADUATE,ENGINEERING,93.0
149,44.0,3.4,,29.4,MASCULINO,,BRAZIL,TERTIARY,ENGINEERING,94.0
1323,29.0,4.2,4820.7,8.3,MASCULINO,DATA,MEXICO,,ENGINEERING,85.0
5203,38.0,,4685.9,21.8,MASCULINO,DATA,,POST_GRADUATE,BUSINESS,92.0
6930,38.0,3.3,4539.1,,MASCULINO,PROGRAMACION,MEXICO,UNIVERSITARY,ENGINEERING,89.0
8416,36.0,2.6,2463.5,,MASCULINO,EJECUTIVO,ARGENTINA,,COMMERCIAL,90.0
8987,41.0,4.2,4847.4,,,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,91.0
418,,3.0,3950.6,15.4,MASCULINO,,,UNIVERSITARY,ENGINEERING,86.0
3214,,,3871.8,,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,COMMERCIAL,86.0
789,23.0,3.7,4707.3,1.6,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,COMMERCIAL,91.0
218,32.0,3.0,3827.5,12.6,MASCULINO,PROGRAMACION,,TERTIARY,BUSINESS,93.0
7637,32.0,3.7,4722.0,13.3,MASCULINO,MARKETING,BRAZIL,UNIVERSITARY,ENGINEERING,84.0
1865,31.0,4.0,,12.2,FEMENINO,PROGRAMACION,BRAZIL,UNIVERSITARY,,94.0
8085,26.0,3.4,4574.8,,MASCULINO,PROGRAMACION,ARGENTINA,,DEVELOPMENT,85.0
4030,35.0,3.6,4727.4,18.0,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,COMMERCIAL,86.0
6345,,3.3,4522.6,28.1,MASCULINO,PROGRAMACION,ARGENTINA,TERTIARY,,95.0
8945,29.0,3.7,4663.9,8.5,,DATA,,UNIVERSITARY,ENGINEERING,94.0
908,29.0,3.3,4473.2,8.3,MASCULINO,DATA,MEXICO,UNIVERSITARY,COMMERCIAL,84.0
3483,28.0,3.4,4455.4,6.8,MASCULINO,EJECUTIVO,ARGENTINA,,ENGINEERING,87.0
1317,,3.9,4603.1,20.6,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,COMMERCIAL,87.0
2348,36.0,2.9,3486.6,19.0,FEMENINO,EJECUTIVO,ARGENTINA,,ENGINEERING,100.0
1691,32.0,3.2,4266.2,12.9,MASCULINO,DATA,MEXICO,TERTIARY,ENGINEERING,87.0
477,34.0,2.5,2109.1,16.2,MASCULINO,PROGRAMACION,MEXICO,,ENGINEERING,89.0
1136,35.0,4.0,4714.8,19.5,MASCULINO,DATA,ARGENTINA,TERTIARY,ENGINEERING,87.0
2946,20.0,3.7,4602.3,0.4,FEMENINO,DATA,ARGENTINA,TERTIARY,DEVELOPMENT,98.0
8950,28.0,3.4,4642.1,5.8,,DATA,ARGENTINA,,COMMERCIAL,88.0
2544,31.0,3.7,4710.6,12.2,FEMENINO,DATA,ARGENTINA,TERTIARY,COMMERCIAL,97.0
7935,33.0,3.6,4563.2,16.3,,PROGRAMACION,MEXICO,UNIVERSITARY,COMMERCIAL,86.0
3711,,3.8,4670.9,,,DATA,ARGENTINA,TERTIARY,,96.0
2016,,4.1,,15.2,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,96.0
6396,39.0,3.9,4728.6,24.8,MASCULINO,DATA,,,MARKETING,97.0
276,,4.0,4738.3,24.7,,PROGRAMACION,,UNIVERSITARY,ENGINEERING,88.0
2297,30.0,3.5,4651.9,10.0,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,COMMERCIAL,94.0
6319,36.0,3.8,4577.5,20.2,MASCULINO,DATA,,TERTIARY,ENGINEERING,89.0
209,29.0,,5304.3,8.3,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,COMMERCIAL,86.0
6989,,3.6,4666.6,28.7,MASCULINO,DATA,ARGENTINA,,COMMERCIAL,96.0
356,,3.5,4633.0,9.8,FEMENINO,,MEXICO,,ENGINEERING,92.0
7615,32.0,,4984.6,13.1,MASCULINO,,ARGENTINA,UNIVERSITARY,ENGINEERING,84.0
361,31.0,3.6,4734.5,10.3,,MARKETING,MEXICO,TERTIARY,,88.0
5426,34.0,3.2,,,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,COMMERCIAL,87.0
6291,27.0,,3491.5,6.5,MASCULINO,PROGRAMACION,BRAZIL,,COMMERCIAL,84.0
6096,36.0,3.7,4637.4,19.9,FEMENINO,DATA,MEXICO,UNIVERSITARY,ENGINEERING,97.0
1375,38.0,3.9,4615.1,22.3,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,89.0
3383,,3.6,4625.3,,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,,95.0
3179,40.0,3.6,4562.0,25.2,,MARKETING,MEXICO,TERTIARY,DEVELOPMENT,104.0
50,41.0,2.7,2806.3,25.5,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,103.0
2436,,2.9,3570.4,,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,90.0
811,35.0,3.8,4693.7,19.1,FEMENINO,,MEXICO,,ENGINEERING,101.0
6314,30.0,3.6,4665.7,,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,,97.0
5413,45.0,4.5,5615.8,30.3,MASCULINO,DATA,BRAZIL,UNIVERSITARY,ENGINEERING,91.0
4407,,3.5,4513.0,17.3,MASCULINO,DATA,ARGENTINA,,COMMERCIAL,93.0
6384,31.0,3.0,,,MASCULINO,DATA,BRAZIL,,COMMERCIAL,86.0
8174,44.0,,4583.8,,MASCULINO,PROGRAMACION,ARGENTINA,,COMMERCIAL,93.0
7191,30.0,3.6,4589.9,9.6,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,84.0
1520,33.0,3.6,4622.1,15.7,FEMENINO,EJECUTIVO,MEXICO,TERTIARY,COMMERCIAL,97.0
4903,36.0,,5138.1,18.7,,PROGRAMACION,,TERTIARY,,91.0
8247,39.0,,4350.2,,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,COMMERCIAL,99.0
894,27.0,3.2,4226.6,5.8,,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,82.0
497,37.0,,4367.1,,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,86.0
8766,,4.1,,14.1,MASCULINO,MARKETING,BRAZIL,UNIVERSITARY,COMMERCIAL,84.0
8779,40.0,3.8,,24.5,MASCULINO,,ARGENTINA,UNIVERSITARY,ENGINEERING,90.0
8125,25.0,,4492.2,3.6,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,DEVELOPMENT,86.0
8520,38.0,,,23.5,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,89.0
1322,34.0,3.4,4548.3,,FEMENINO,EJECUTIVO,,UNIVERSITARY,ENGINEERING,95.0
3558,34.0,3.9,4736.2,16.5,MASCULINO,PROGRAMACION,BRAZIL,UNIVERSITARY,ENGINEERING,84.0
8445,40.0,3.8,4596.7,24.9,MASCULINO,PROGRAMACION,MEXICO,TERTIARY,DEVELOPMENT,99.0
2903,34.0,2.8,3293.8,17.2,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,86.0
442,37.0,4.3,,22.3,,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,97.0
5151,33.0,3.3,4353.5,14.1,MASCULINO,PROGRAMACION,ARGENTINA,TERTIARY,ENGINEERING,88.0
6030,35.0,3.7,4601.1,16.9,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,DEVELOPMENT,86.0
5073,36.0,3.4,4570.5,18.2,,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,86.0
2213,,3.0,3828.8,0.8,MASCULINO,,ARGENTINA,UNIVERSITARY,DEVELOPMENT,88.0
1578,18.0,2.6,2601.0,,FEMENINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,93.0
6669,39.0,2.9,,22.7,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,99.0
4843,33.0,3.6,,,MASCULINO,PROGRAMACION,,UNIVERSITARY,DEVELOPMENT,86.0
3572,40.0,4.0,4773.6,24.9,MASCULINO,DATA,,UNIVERSITARY,,87.0
